season,team,conf,division,games,wins,true_wins,losses,ties,pf,pa,pd,win_pct,div_pct,conf_pct,MOV,SOS,SRS,OSRS,DSRS,sov,sos,div_rank,div_tie_broken_by,conf_rank,conf_tie_broken_by
2007,SEA,NFC,NFC West,16,10,10,6,0,393,291,102,0.625,0.8333333333333334,0.6666666666666666,6.375,-4.617986755746222,1.7570132442537774,0.8296827940539505,0.92733045019982685,0.375,0.4140625,1,NA,3,NA
2007,SF,NFC,NFC West,16,5,5,11,0,219,364,-145,0.3125,0.5,0.3333333333333333,-9.0625,-2.8704173116270146,-11.932917311627014,-9.90851165038516,-2.024405661241854,0.4375,0.46484375,3,NA,14,NA
2007,TB,NFC,NFC South,16,9,9,7,0,334,270,64,0.5625,0.8333333333333334,0.6666666666666666,4,-2.77827239569771,1.2217276043022898,-2.3404556227419326,3.5621832270442226,0.4097222222222222,0.46875,1,NA,4,NA
2007,TEN,AFC,AFC South,16,10,10,6,0,301,297,4,0.625,0.6666666666666666,0.5833333333333334,0.25,0.45817590164081956,0.7081759016408196,-2.851338221169147,3.5595141228099667,0.4375,0.5,3,NA,6,Common Games Win PCT (2)
2007,WAS,NFC,NFC East,16,9,9,7,0,334,310,24,0.5625,0.5,0.5833333333333334,1.5,2.974290462866784,4.474290462866784,0.19213381343439162,4.282156649432392,0.4583333333333333,0.5546875,3,NA,6,NA
2008,ARI,NFC,NFC West,16,9,9,7,0,427,426,1,0.5625,1,0.5833333333333334,0.0625,-1.9470904204162416,-1.8845904204162418,4.113616135087227,-5.998206555503469,0.3680555555555556,0.486328125,1,NA,4,NA
2008,ATL,NFC,NFC South,16,11,11,5,0,391,325,66,0.6875,0.5,0.6666666666666666,4.125,-0.3110556605589485,3.8139443394410515,1.3384057491653385,2.475538590275713,0.4034090909090909,0.458984375,2,NA,5,NA
2008,BAL,AFC,AFC North,16,11,11,5,0,385,244,141,0.6875,0.6666666666666666,0.6666666666666666,8.8125,0.9919332619484835,9.804433261948484,4.220263670340119,5.584169591608365,0.4119318181818182,0.521484375,2,NA,6,Conference Win PCT (2)
2008,BUF,AFC,AFC East,16,7,7,9,0,336,342,-6,0.4375,0,0.4166666666666667,-0.375,-2.962556386821974,-3.337556386821974,-2.7700063670489103,-0.5675500197730639,0.30357142857142855,0.453125,4,NA,11,NA
2008,CAR,NFC,NFC South,16,12,12,4,0,414,329,85,0.75,0.6666666666666666,0.6666666666666666,5.3125,0.32088878392187575,5.633388783921876,2.769705352382082,2.863683431539794,0.4322916666666667,0.48828125,1,NA,2,NA
2008,CHI,NFC,NFC North,16,9,9,7,0,375,350,25,0.5625,0.6666666666666666,0.5833333333333334,1.5625,0.54188369375861,2.10438369375861,1.066216880718899,1.038166813039711,0.3645833333333333,0.474609375,2,NA,9,NA
2008,CIN,AFC,AFC North,16,4.5,4,11,1,204,364,-160,0.28125,0.16666666666666666,0.25,-10,3.027002706416394,-6.972997293583607,-6.892037916890467,-0.0809593766931398,0.296875,0.552734375,3,NA,14,NA
2008,CLE,AFC,AFC North,16,4,4,12,0,232,350,-118,0.25,0.16666666666666666,0.25,-7.375,2.728391595338024,-4.6466084046619756,-5.211730377202167,0.565121972540191,0.4453125,0.572265625,4,NA,15,NA
2008,DAL,NFC,NFC East,16,9,9,7,0,362,365,-3,0.5625,0.5,0.5833333333333334,-0.1875,0.7541127088404952,0.5666127088404951,1.7175681109372867,-1.1509554020967916,0.4444444444444444,0.498046875,3,NA,8,SOV (2)
2008,DEN,AFC,AFC West,16,8,8,8,0,370,448,-78,0.5,0.5,0.4166666666666667,-4.875,-0.9134626464945492,-5.788462646494549,0.7140650200840585,-6.502527666578607,0.4375,0.45703125,2,Division Win PCT (2),10,NA
2008,DET,NFC,NFC North,16,0,0,16,0,268,517,-249,0,0,0,-15.5625,2.4540364715915035,-13.108463528408496,-4.00784065898474,-9.100622869423756,0,0.55859375,4,NA,16,NA
2008,GB,NFC,NFC North,16,6,6,10,0,419,380,39,0.375,0.6666666666666666,0.4166666666666667,2.4375,0.4554253604287327,2.8929253604287326,4.0903240235730705,-1.1973986631443378,0.3645833333333333,0.50390625,3,NA,13,NA
