game_id,season,week,gameday,home_team,away_team,home_score,away_score,location,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post
2006_06_BUF_DET,2006,6,2006-10-15,DET,BUF,20,17,Home,1403.1231245694091,1483.8009539982531,1419.5462713274283,1467.377807240234
2006_06_CAR_BAL,2006,6,2006-10-15,BAL,CAR,21,23,Home,1549.335292951741,1508.5761426578429,1537.289394324614,1520.6220412849698
2006_06_CIN_TB,2006,6,2006-10-15,TB,CIN,14,13,Home,1427.167192647842,1532.178181052609,1435.7237049671203,1523.6216687333308
2006_06_HOU_DAL,2006,6,2006-10-15,DAL,HOU,34,6,Home,1510.172076576327,1432.076797469852,1535.501943093198,1406.746930952981
2006_06_KC_PIT,2006,6,2006-10-15,PIT,KC,45,7,Home,1464.1990795797085,1510.6679209482047,1504.8470545404584,1470.0199459874548
2006_06_MIA_NYJ,2006,6,2006-10-15,NYJ,MIA,20,17,Home,1472.0592349353774,1436.6226471278992,1484.3156931430435,1424.366188920233
2006_06_NYG_ATL,2006,6,2006-10-15,ATL,NYG,14,27,Home,1543.9466022552253,1510.931193781371,1515.4829146574773,1539.394881379119
2006_06_OAK_DEN,2006,6,2006-10-15,DEN,LV,13,3,Home,1545.2302460916646,1402.2681827656334,1558.971042895476,1388.527385961822
2006_06_PHI_NO,2006,6,2006-10-15,NO,PHI,27,24,Home,1558.7783556659576,1582.5861738346662,1573.4311960591167,1567.933333441507
2006_06_SD_SF,2006,6,2006-10-15,SF,LAC,19,48,Home,1462.9397439411528,1567.526140720985,1439.9601772991102,1590.5057073630276
2006_06_SEA_STL,2006,6,2006-10-15,LA,SEA,28,30,Home,1536.218517084853,1528.4822802657507,1525.0271642128814,1539.6736331377222
2006_06_TEN_WAS,2006,6,2006-10-15,WAS,TEN,22,25,Home,1475.462009887119,1406.0965764877385,1459.3747567376743,1422.1838296371832
2006_06_CHI_ARI,2006,6,2006-10-16,ARI,CHI,23,24,Home,1444.55860637979,1631.217449522513,1441.3057893498897,1634.4702665524135
2006_07_ARI_OAK,2006,7,2006-10-22,LV,ARI,22,9,Home,1388.527385961822,1441.3057893498897,1418.184867009169,1411.6483083025425
2006_07_CAR_CIN,2006,7,2006-10-22,CIN,CAR,17,14,Home,1523.6216687333308,1520.6220412849698,1537.3462149398097,1506.897495078491
2006_07_DEN_CLE,2006,7,2006-10-22,CLE,DEN,7,17,Home,1445.5992726448665,1558.971042895476,1429.983254433724,1574.5870611066186
2006_07_DET_NYJ,2006,7,2006-10-22,NYJ,DET,31,24,Home,1484.3156931430435,1419.5462713274283,1500.7927800782654,1403.0691843922064
2006_07_GB_MIA,2006,7,2006-10-22,MIA,GB,24,34,Home,1424.366188920233,1435.3716479616792,1401.2621233860307,1458.4757134958816
2006_07_JAX_HOU,2006,7,2006-10-22,HOU,JAX,27,7,Home,1406.746930952981,1540.0828796904564,1445.9579789144539,1500.8718317289836
2006_07_MIN_SEA,2006,7,2006-10-22,SEA,MIN,13,31,Home,1539.6736331377222,1512.2615884368138,1508.3018354490755,1543.6333861254604
2006_07_NE_BUF,2006,7,2006-10-22,BUF,NE,6,28,Home,1467.377807240234,1560.6187983136558,1445.181916766651,1582.8146887872388
2006_07_PHI_TB,2006,7,2006-10-22,TB,PHI,23,21,Home,1435.7237049671203,1567.933333441507,1449.8506675213582,1553.8063708872692
2006_07_PIT_ATL,2006,7,2006-10-22,ATL,PIT,41,38,Home,1515.4829146574773,1504.8470545404584,1528.8569553342186,1491.4730138637171
2006_07_SD_KC,2006,7,2006-10-22,KC,LAC,30,27,Home,1470.0199459874548,1590.5057073630276,1487.546616679225,1572.9790366712573
2006_07_WAS_IND,2006,7,2006-10-22,IND,WAS,36,22,Home,1579.8450897530424,1459.3747567376743,1596.9576457504281,1442.2622007402886
2006_07_NYG_DAL,2006,7,2006-10-23,DAL,NYG,22,36,Home,1535.501943093198,1539.394881379119,1508.7721581923647,1566.1246662799522
2006_08_ARI_GB,2006,8,2006-10-29,GB,ARI,31,14,Home,1458.4757134958816,1411.6483083025425,1482.985508310066,1387.138513488358
2006_08_ATL_CIN,2006,8,2006-10-29,CIN,ATL,27,29,Home,1537.3462149398097,1528.8569553342186,1526.1349713842392,1540.068198889789
2006_08_BAL_NO,2006,8,2006-10-29,NO,BAL,22,35,Home,1573.4311960591167,1537.289394324614,1544.7759677303275,1565.9446226534033
2006_08_DAL_CAR,2006,8,2006-10-29,CAR,DAL,14,35,Home,1506.897495078491,1508.7721581923647,1476.180027698118,1539.4896255727376
2006_08_HOU_TEN,2006,8,2006-10-29,TEN,HOU,28,22,Home,1422.1838296371832,1445.9579789144539,1442.7501460032336,1425.3916625484035
2006_08_IND_DEN,2006,8,2006-10-29,DEN,IND,31,34,Home,1574.5870611066186,1596.9576457504281,1561.7460623576749,1609.798644499372
2006_08_JAX_PHI,2006,8,2006-10-29,PHI,JAX,6,13,Home,1553.8063708872692,1500.8718317289836,1530.4305022311305,1524.2477003851222
2006_08_NYJ_CLE,2006,8,2006-10-29,CLE,NYJ,20,13,Home,1429.983254433724,1500.7927800782654,1454.179206587961,1476.5968279240283
2006_08_PIT_OAK,2006,8,2006-10-29,LV,PIT,20,13,Home,1418.184867009169,1491.4730138637171,1442.4920018754399,1467.1658789974463
2006_08_SEA_KC,2006,8,2006-10-29,KC,SEA,35,28,Home,1487.546616679225,1508.3018354490755,1509.3758389475074,1486.4726131807931
2006_08_SF_CHI,2006,8,2006-10-29,CHI,SF,41,10,Home,1634.4702665524135,1439.9601772991102,1650.1409514475652,1424.2894924039585
2006_08_STL_SD,2006,8,2006-10-29,LAC,LA,38,24,Home,1572.9790366712573,1525.0271642128814,1595.8470934474788,1502.15910743666
2006_08_TB_NYG,2006,8,2006-10-29,NYG,TB,17,3,Home,1566.1246662799522,1449.8506675213582,1583.5454389857616,1432.4298948155488
2006_08_NE_MIN,2006,8,2006-10-30,MIN,NE,7,31,Home,1543.6333861254604,1582.8146887872388,1515.5593255091828,1610.8887494035164
2006_09_ATL_DET,2006,9,2006-11-05,DET,ATL,30,14,Home,1403.0691843922064,1540.068198889789,1439.7441334497835,1503.393249832212
2006_09_CIN_BAL,2006,9,2006-11-05,BAL,CIN,26,20,Home,1565.9446226534033,1526.1349713842392,1582.877376752933,1509.2022172847094
2006_09_CLE_SD,2006,9,2006-11-05,LAC,CLE,32,25,Home,1595.8470934474788,1454.179206587961,1607.8314303683433,1442.1948696670966
2006_09_DAL_WAS,2006,9,2006-11-05,WAS,DAL,22,19,Home,1442.2622007402886,1539.4896255727376,1459.159628220714,1522.5921980923122
2006_09_DEN_PIT,2006,9,2006-11-05,PIT,DEN,20,31,Home,1467.1658789974463,1561.7460623576749,1449.6711448209483,1579.240796534173
2006_09_GB_BUF,2006,9,2006-11-05,BUF,GB,24,10,Home,1445.181916766651,1482.985508310066,1474.690349955244,1453.4770751214733
2006_09_HOU_NYG,2006,9,2006-11-05,NYG,HOU,14,10,Home,1583.5454389857616,1425.3916625484035,1592.1615365294483,1416.7755650047168
2006_09_IND_NE,2006,9,2006-11-05,NE,IND,20,27,Home,1610.8887494035164,1609.798644499372,1590.0394210696682,1630.6479728332201
2006_09_KC_STL,2006,9,2006-11-05,LA,KC,17,31,Home,1502.15910743666,1509.3758389475074,1475.7277288149287,1535.8072175692387
2006_09_MIA_CHI,2006,9,2006-11-05,CHI,MIA,13,31,Home,1650.1409514475652,1401.2621233860307,1607.4307778158202,1443.9722970177756
2006_09_MIN_SF,2006,9,2006-11-05,SF,MIN,9,3,Home,1424.2894924039585,1515.5593255091828,1447.7717929747444,1492.077024938397
2006_09_NO_TB,2006,9,2006-11-05,TB,NO,14,31,Home,1432.4298948155488,1544.7759677303275,1413.5251446578898,1563.6807178879865
2006_09_TEN_JAX,2006,9,2006-11-05,JAX,TEN,37,7,Home,1524.2477003851222,1442.7501460032336,1549.7329797793104,1417.2648666090454
2006_09_OAK_SEA,2006,9,2006-11-06,SEA,LV,16,0,Home,1486.4726131807931,1442.4920018754399,1510.7519464881461,1418.2126685680869
2006_10_BAL_TEN,2006,10,2006-11-12,TEN,BAL,26,27,Home,1417.2648666090454,1582.877376752933,1413.6780249163014,1586.464218445677
