game_id,season,week,team,opponent,turnover_diff,turnover_won,turnover_lost,interception_won,interception_lost,fumble_won,fumble_lost
2006_05_STL_GB,2006,5,GB,LA,0,2,2,2,0,0,2
2006_05_STL_GB,2006,5,LA,GB,1,1,0,0,0,1,0
2006_05_TEN_IND,2006,5,IND,TEN,4,6,2,4,1,2,1
2006_05_TEN_IND,2006,5,TEN,IND,2,3,1,2,1,1,0
2006_05_DET_MIN,2006,5,MIN,DET,0,2,2,2,1,0,1
2006_05_DET_MIN,2006,5,DET,MIN,-5,0,5,0,3,0,2
2006_05_MIA_NE,2006,5,NE,MIA,4,4,0,3,0,1,0
2006_05_MIA_NE,2006,5,MIA,NE,-3,1,4,0,2,1,2
2006_05_TB_NO,2006,5,NO,TB,4,4,0,2,0,2,0
2006_05_TB_NO,2006,5,TB,NO,0,1,1,0,0,1,1
2006_05_WAS_NYG,2006,5,NYG,WAS,1,1,0,0,0,1,0
2006_05_WAS_NYG,2006,5,WAS,NYG,1,1,0,1,0,0,0
2006_05_KC_ARI,2006,5,ARI,KC,-1,0,1,0,1,0,0
2006_05_KC_ARI,2006,5,KC,ARI,-1,1,2,1,0,0,2
2006_05_NYJ_JAX,2006,5,JAX,NYJ,1,1,0,1,0,0,0
2006_05_NYJ_JAX,2006,5,NYJ,JAX,-4,0,4,0,3,0,1
2006_05_OAK_SF,2006,5,SF,LV,4,5,1,4,1,1,0
2006_05_OAK_SF,2006,5,LV,SF,-4,1,5,0,4,1,1
2006_05_DAL_PHI,2006,5,PHI,DAL,-1,1,2,0,0,1,2
2006_05_DAL_PHI,2006,5,DAL,PHI,-3,2,5,0,3,2,2
2006_05_PIT_SD,2006,5,LAC,PIT,4,5,1,2,1,3,0
2006_05_PIT_SD,2006,5,PIT,LAC,1,3,2,3,2,0,0
2006_05_BAL_DEN,2006,5,DEN,BAL,0,2,2,1,1,1,1
2006_05_BAL_DEN,2006,5,BAL,DEN,-3,0,3,0,3,0,0
