game_id,season,week,team,passing_tds,rushing_tds,td_special,def_tds,fumble_recovery_tds,passing_2pt_conversions,rushing_2pt_conversions,pat_att,pat_made,fg_att,fg_made,safeties_def,td_off,td_def,td_total,two_pt_att,two_pt_made,two_pt_def,points8,points7,points6,points3,points2,points_total
2006_03_PHI_SF,2006,3,SF,1,2,0,0,0,0,0,3,3,1,1,0,3,0,3,0,0,0,0,3,0,1,0,24
2006_03_PHI_SF,2006,3,PHI,2,2,0,0,1,0,0,5,5,2,1,0,4,1,5,0,0,0,0,5,0,1,0,38
2006_03_DEN_NE,2006,3,NE,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,7
2006_03_DEN_NE,2006,3,DEN,2,0,0,0,0,0,0,2,2,1,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_03_ATL_NO,2006,3,NO,0,1,1,0,0,0,0,2,2,3,3,0,1,0,2,0,0,0,0,2,0,3,0,23
2006_03_ATL_NO,2006,3,ATL,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3
2006_04_ARI_ATL,2006,4,ATL,0,1,0,1,0,0,0,2,2,6,6,0,1,1,2,0,0,0,0,2,0,6,0,32
2006_04_ARI_ATL,2006,4,ARI,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,10
2006_04_SD_BAL,2006,4,BAL,2,0,0,0,0,0,0,2,2,0,0,1,2,0,2,0,0,0,0,2,0,0,1,16
2006_04_SD_BAL,2006,4,LAC,1,0,0,0,0,0,0,1,1,3,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_04_MIN_BUF,2006,4,BUF,1,1,0,0,0,0,0,2,2,2,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_04_MIN_BUF,2006,4,MIN,1,0,0,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,1,2,0,12
2006_04_NO_CAR,2006,4,CAR,2,1,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,21
2006_04_NO_CAR,2006,4,NO,1,1,0,0,0,1,0,1,1,2,1,0,2,0,2,1,1,0,1,1,0,1,0,18
2006_04_MIA_HOU,2006,4,HOU,1,1,0,0,0,0,0,2,2,1,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_04_MIA_HOU,2006,4,MIA,1,0,0,0,0,0,0,0,0,3,3,0,1,0,1,1,0,0,0,0,1,3,0,15
2006_04_SF_KC,2006,4,KC,2,2,1,0,0,0,0,5,5,2,2,0,4,0,5,0,0,0,0,5,0,2,0,41
2006_04_SF_KC,2006,4,SF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006_04_IND_NYJ,2006,4,NYJ,1,2,1,0,0,0,0,4,4,0,0,0,3,0,4,0,0,0,0,4,0,0,0,28
2006_04_IND_NYJ,2006,4,IND,1,3,0,0,0,0,0,4,4,1,1,0,4,0,4,0,0,0,0,4,0,1,0,31
2006_04_DAL_TEN,2006,4,TEN,1,0,0,0,0,0,1,0,0,2,2,0,1,0,1,1,1,0,1,0,0,2,0,14
2006_04_DAL_TEN,2006,4,DAL,2,3,0,1,0,0,0,6,6,2,1,0,5,1,6,0,0,0,0,6,0,1,0,45
2006_04_DET_STL,2006,4,LA,3,1,0,0,0,1,0,3,3,5,4,0,4,0,4,1,1,0,1,3,0,4,0,41
2006_04_DET_STL,2006,4,DET,2,2,0,0,0,0,0,4,4,2,2,0,4,0,4,0,0,0,0,4,0,2,0,34
2006_04_NE_CIN,2006,4,CIN,0,1,0,0,0,0,0,1,1,2,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_04_NE_CIN,2006,4,NE,2,3,0,0,0,0,0,5,5,2,1,0,5,0,5,0,0,0,0,5,0,1,0,38
2006_04_CLE_OAK,2006,4,LV,1,1,0,0,1,0,0,3,3,0,0,0,2,1,3,0,0,0,0,3,0,0,0,21
2006_04_CLE_OAK,2006,4,CLE,3,0,0,0,0,0,0,3,3,2,1,0,3,0,3,0,0,0,0,3,0,1,0,24
2006_04_JAX_WAS,2006,4,WAS,3,1,0,0,0,0,0,3,3,3,3,0,4,0,4,0,0,0,0,3,1,3,0,36
2006_04_JAX_WAS,2006,4,JAX,3,0,0,0,0,0,0,3,3,3,3,0,3,0,3,0,0,0,0,3,0,3,0,30
2006_04_SEA_CHI,2006,4,CHI,2,2,0,0,0,0,0,4,4,3,3,0,4,0,4,0,0,0,0,4,0,3,0,37
2006_04_SEA_CHI,2006,4,SEA,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,6
2006_04_GB_PHI,2006,4,PHI,2,2,0,0,0,0,0,4,4,1,1,0,4,0,4,0,0,0,0,4,0,1,0,31
2006_04_GB_PHI,2006,4,GB,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,9
2006_05_CLE_CAR,2006,5,CAR,1,0,0,1,0,0,0,2,2,3,2,0,1,1,2,0,0,0,0,2,0,2,0,20
2006_05_CLE_CAR,2006,5,CLE,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,12
2006_05_BUF_CHI,2006,5,CHI,2,2,0,0,0,0,0,4,4,4,4,0,4,0,4,0,0,0,0,4,0,4,0,40
2006_05_BUF_CHI,2006,5,BUF,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7
